zip_code;city;lat;lng;ne_lat;ne_lng;sw_lat;sw_lng
21258;Heidenau;53.3156;9.63013;53.3502;9.69345;53.2569;9.58264
21376;Salzhausen;53.2087;10.1284;53.2661;10.2364;53.1685;10.0442
27442;Gnarrenburg;53.375;9.01327;53.4513;9.12012;53.3161;8.90192
21407;Deutsch Evern;53.1868;10.4425;53.2138;10.4714;53.1698;10.4131
21400;Reinstorf;53.2409;10.5688;53.2722;10.6262;53.2034;10.5067
21369;Nahrendorf;53.1678;10.8345;53.1984;10.9096;53.1401;10.7653
29451;Dannenberg;53.0987;11.1093;53.1584;11.1716;53.0402;11.009
29484;Langendorf;53.0848;11.2554;53.1454;11.3276;53.0378;11.1957
29456;Hitzacker;53.1516;11.0096;53.2027;11.0977;53.1128;10.8995
21357;Wittorf;53.3176;10.3798;53.3708;10.4346;53.2818;10.3089
21522;Hohnstorf;53.3476;10.5953;53.3717;10.6503;53.3283;10.5032
02694;Malschwitz;51.2664;14.5133;51.358;14.6361;51.1963;14.4008
03099;Kolkwitz;51.7454;14.2;51.8084;14.3103;51.6998;14.1008
02959;Trebendorf-Mühlrose;51.5219;14.5269;51.5811;14.6063;51.4675;14.4395
02748;Bernstadt;51.0437;14.8347;51.0953;14.8944;50.997;14.7535
02763;Zittau;50.9241;14.7701;50.9714;14.8534;50.8202;14.681
02894;Vierkirchen;51.1582;14.775;51.2327;14.8482;51.0835;14.6718
06895;Zahna;51.8946;12.8306;52.0133;12.9103;51.8078;12.6388
15936;Rosenthal;51.8704;13.4238;51.9344;13.5814;51.8151;13.2968
39317;Zerben;52.3835;11.9841;52.4655;12.0623;52.3113;11.9157
14797;Rietz;52.3427;12.6768;52.3966;12.8266;52.2379;12.4995
14728;Stölln;52.7289;12.4121;52.7934;12.5604;52.676;12.2636
14550;Schmergow;52.4187;12.7733;52.4734;12.864;52.3627;12.6553
39539;Neuwerben;52.8307;12.1672;52.8945;12.2577;52.7268;12.0085
19309;Wustrow;53.0831;11.4981;53.1744;11.7118;53.0356;11.2687
19322;Zwischendeich;52.9886;11.7934;53.0653;11.941;52.8919;11.6246
26725;Emden;53.3544;7.24915;53.4084;7.31244;53.3144;7.17448
15910;Wittmannsdorf-Bückchen;52.0401;13.8141;52.1318;13.9353;51.9027;13.6335
15938;Wildau-Wentdorf;51.9469;13.5987;52.0107;13.7646;51.8953;13.4109
03051;Cottbus;51.718;14.3776;51.7426;14.4507;51.692;14.3033
02943;Weißwasser;51.4269;14.5988;51.5372;14.7457;51.3175;14.4579
02953;Halbendorf;51.5434;14.6535;51.5973;14.7319;51.5173;14.5621
03054;Cottbus;51.8359;14.3396;51.8686;14.3797;51.7955;14.2963
15907;Lübben;51.9449;13.8885;51.9981;14.0036;51.8925;13.7878
27628;Wulsbüttel;53.3582;8.65486;53.4366;8.77653;53.2812;8.49639
26935;Stadland;53.4055;8.4501;53.4557;8.50005;53.3636;8.39575
27412;Wilstedt;53.239;9.08591;53.3368;9.25417;53.1441;8.9896
27616;Stubben;53.4348;8.79697;53.5219;8.97318;53.3725;8.67056
27612;Loxstedt;53.4516;8.56706;53.5161;8.78455;53.3944;8.49226
26603;Aurich;53.4728;7.4858;53.4858;7.51385;53.4562;7.45279
26452;Sande;53.5011;8.01193;53.5259;8.06515;53.4612;7.9285
26487;Neuschoo;53.5706;7.53082;53.5956;7.59426;53.5484;7.47693
26386;Wilhelmshaven;53.5545;8.10798;53.5805;8.153;53.5285;8.07981
26441;Jever;53.5553;7.85303;53.6026;7.95337;53.5011;7.81522
21698;Harsefeld;53.4591;9.47201;53.5052;9.59322;53.3949;9.33745
27449;Kutenholz;53.4941;9.30534;53.5369;9.4123;53.4494;9.22573
21259;Otter;53.2251;9.73921;53.2639;9.80777;53.1895;9.64186
21274;Undeloh;53.2048;9.91795;53.2456;10.0239;53.1734;9.84569
21423;Winsen;53.3658;10.2022;53.4333;10.3562;53.2868;10.0911
21147;Hamburg;53.4802;9.84984;53.4965;9.91413;53.4716;9.79854
21037;Hamburg;53.4461;10.157;53.5066;10.2491;53.3951;10.051
21614;Buxtehude;53.4639;9.68283;53.5092;9.78357;53.4115;9.5966
21727;Estorf;53.5692;9.18203;53.5939;9.25989;53.5321;9.15395
21354;Bleckede;53.3246;10.6696;53.3715;10.8697;53.2182;10.6141
19258;Zahrensdorf;53.4036;10.7615;53.5162;10.9193;53.3228;10.5938
21502;Worth;53.4469;10.399;53.4853;10.4708;53.3985;10.3078
19249;Volzrade;53.2868;11.0799;53.3506;11.174;53.2158;10.9808
19294;Stuck;53.2112;11.4148;53.2991;11.5693;53.1346;11.2172
21465;Wentorf;53.5469;10.2554;53.5799;10.3157;53.4795;10.2104
21493;Talkau;53.5567;10.5173;53.6058;10.59;53.4769;10.4341
19260;Vietow;53.4204;10.9359;53.4771;11.0501;53.3465;10.8434
02708;Schönbach;51.0774;14.6556;51.1863;14.7725;51.0118;14.5351
02923;Trebus;51.3145;14.8903;51.4069;14.9719;51.2001;14.8027
02956;Rietschen;51.405;14.7708;51.4505;14.893;51.3639;14.6862
15913;Zaue;51.9884;14.0646;52.1376;14.3446;51.8568;13.8793
03149;Wiesengrund;51.7307;14.5768;51.8213;14.7584;51.6478;14.4849
39590;Tangermünde;52.5609;11.9413;52.6442;12.0157;52.5064;11.8508
14554;Seddiner See;52.2795;13.0051;52.3058;13.0658;52.2547;12.9511
14471;Potsdam;52.3768;13.0057;52.401;13.0484;52.3565;12.9713
14624;Rohrbeck;52.5165;13.065;52.5581;13.1686;52.4596;12.9847
14641;Zeestow;52.6314;12.812;52.7254;13.0189;52.4997;12.6223
14109;Berlin;52.4151;13.1469;52.4496;13.2011;52.3869;13.0883
16866;Wutike;52.9848;12.3598;53.057;12.5578;52.893;12.0536
16845;Zernitz;52.8414;12.479;52.9762;12.764;52.7488;12.1201
19303;Woosmer;53.2337;11.18;53.2937;11.4023;53.1098;11.0875
19357;Zapel;53.1824;11.7089;53.274;11.8529;53.0712;11.5508
15755;Tornow;52.1203;13.5933;52.1654;13.6652;52.0731;13.5408
15864;Wendisch Rietz;52.2036;14.0289;52.2607;14.1038;52.1677;13.9329
15837;Schöbendorf;52.0335;13.5042;52.1118;13.6529;51.9558;13.2785
15838;Zesch am See;52.1353;13.3709;52.2058;13.4668;52.0868;13.2983
02999;Uhyst;51.3682;14.3846;51.4521;14.5291;51.3049;14.2783
15868;Wirchensee Försterei;52.0088;14.338;52.0723;14.4538;51.9323;14.2213
03172;Pinnow-Heideland;51.9475;14.569;52.0577;14.7221;51.8134;14.3706
27619;Schiffdorf;53.538;8.72702;53.6211;8.89186;53.4837;8.61941
27568;Bremerhaven;53.566;8.56636;53.5973;8.58773;53.5354;8.52819
26969;Butjadingen;53.5572;8.3064;53.6182;8.47699;53.4764;8.22704
27607;Langen;53.6647;8.63453;53.7364;8.761;53.5931;8.50762
26524;Lütetsburg;53.6128;7.28932;53.6836;7.3445;53.5565;7.22486
26427;Westerburer Polder;53.6459;7.63159;53.7205;7.77548;53.5558;7.48844
26553;Dornum;53.6567;7.46037;53.6868;7.55789;53.619;7.31379
25491;Hetlingen;53.6054;9.62076;53.6402;9.66224;53.5785;9.53697
21714;Hammah;53.6194;9.37831;53.6655;9.43137;53.5913;9.32894
27432;Oerel;53.4981;9.11349;53.5969;9.28292;53.4072;8.895
22559;Hamburg;53.5829;9.763;53.6313;9.79897;53.5546;9.73028
21745;Hemmoor;53.6823;9.13078;53.7227;9.22389;53.6436;9.05772
21224;Rosengarten;53.4023;9.90028;53.4579;9.95778;53.3344;9.80414
29614;Soltau;53.0057;9.83092;53.0792;10.0301;52.9284;9.65968
20539;Hamburg;53.5267;10.0438;53.5459;10.0737;53.5;9.99349
22337;Hamburg;53.6246;10.0498;53.6381;10.0851;53.6075;10.0184
25474;Hasloh;53.6853;9.91334;53.7197;9.95256;53.6345;9.84873
22962;Siek;53.6269;10.2782;53.6536;10.3185;53.6138;10.2394
21782;Bülkau;53.7596;8.97744;53.7799;9.02316;53.6872;8.95741
21737;Wischhafen;53.7563;9.30563;53.8317;9.37694;53.7291;9.2665
